main_language,delta_coverage,delta_semantic_document_score
Arabic,-0.48011379310344837,-0.0690708856718002
Bangla,-0.4435633333333334,-0.11258113258483626
Bulgarian,-0.4053200000000001,0.10868336492224207
Catalan,-0.37280545454545455,-0.048340096911653085
Chinese,-0.3620142857142856,-0.03182200044892142
Czech,-0.30713448275862076,-0.09994684371827067
Dutch,-0.299272,-0.18681489833131354
English,-0.29092307692307695,-0.04241605927404113
Finnish,-0.27858000000000005,0.045999111078170896
French,-0.27641666666666664,-0.054378630181082355
German,-0.276107142857143,0.020296888629794507
Greek,-0.27534666666666674,0.004490623824389028
Hebrew,-0.23767636363636369,-0.0415442305531174
Hindi,-0.22354999999999992,0.11423148554441043
Italian,-0.2168000000000001,0.008090098936695655
Japanese,-0.2167379310344827,0.10829235051610209
Khmer,-0.17895000000000005,-0.01650852012117121
Latin,-0.1625399999999999,-0.003340460387660893
Norwegian,-0.15816666666666668,-0.11626315852339586
Persian,-0.13002999999999987,0.0330874963019156
Polish,-0.12857499999999988,-0.02870000562651065
Portuguese,-0.11003207547169802,0.046052844495023115
Romanian,-0.09641034482758615,0.01949304976820143
Sanskrit,-0.09181000000000006,-0.06040109435029206
Slovenian,-0.06810357142857137,-0.026036875381082458
Spanish,-0.05130833333333329,0.013827016861123642
Swedish,-0.03235555555555547,-0.040316810805502645
Turkish,-0.03220333333333336,0.04826420768211637
Vietnamese,0.14443000000000006,0.4601133970573992
